#x,T,xh2o,S,qx,X_SLW1,Ss_SLW1,X_LBL,Ss_LBL
#[m],[K],[],[kW/m3],[kW/m2],#[m],[kW/m3],#[m],[kW/m3]
5.9,1460.29368567694,0.960293685676943,-14.0793490262646,8.70933217572846,5.97144142536325,-40.4766414141414,3.00403044807431,-15.4294813337806
6.1,1440.88076895423,0.940880768954226,-13.0301896998605,10.4754483862852,6.17164825944873,-37.4061966041215,3.06602280298055,-16.701222364498
6.3,1417.75462568398,0.917754625683981,-11.7182321208754,12.1310158489963,6.35892801092098,-33.8808286601156,3.10727228913386,-17.8142024863092
6.5,1391.00652418837,0.891006524188368,-10.3330172112942,13.6592810565773,6.56380597569863,-29.9318792766373,3.1693591445811,-18.7677601954271
6.7,1360.74202700394,0.860742027003944,-9.1213831595147,15.0686973955243,6.7647868052767,-25.5517473118279,3.21060863073441,-19.8807403172383
6.9,1327.08057427456,0.827080574274562,-7.64645752619784,16.353205985726,6.9469624110346,-20.763043366762,3.27260098564064,-21.1524813479557
7.1,1290.15501237569,0.790155012375691,-6.10234435856948,17.498972547276,7.15447805589018,-15.6494045291626,3.31380322152344,-22.4245531305667
7.3,1250.11106963046,0.750111069630459,-4.66206773418975,18.5211530534693,7.34657341721322,-10.6268532095145,3.37589007697069,-23.3781108396846
7.5,1207.10678118655,0.707106781186548,-3.00082489483985,19.3881883208513,7.54402826732501,-5.75643486839723,3.41709231285349,-24.6501826222955
7.7,1161.31186532365,0.661311865323652,-1.39192387481534,20.0869902646476,7.74853507636937,-1.05545373085695,3.49987478678315,-25.9215929011194
7.9,1112.90705365298,0.612907053652976,0.318961609008611,20.6005496706839,7.9362372173191,2.83454526389496,3.54102977239545,-27.3527563445301
8.1,1062.08337785213,0.56208337785213,1.66539961094004,20.9585673824067,8.12934085872782,6.08253910068427,3.60306937757219,-28.4654057144477
8.3,1009.04141575037,0.509041415750371,3.12554597560741,21.1489030128851,8.33032168830589,8.35371863799284,3.66506173247842,-29.7371467451651
8.5,953.990499739547,0.453990499739547,4.52884015976989,21.1637486275591,8.52072457948512,9.73264907135875,3.72710133765516,-30.8497961150828
8.7,897.147890634781,0.397147890634781,6.03233089563088,20.9703840366972,8.72170540906319,10.1382168458781,3.78909369256139,-32.1215371458002
8.9,838.737920245291,0.338737920245291,7.17408949793335,20.5840273160131,8.91210830024242,9.48930840664712,3.85103879719711,-33.5523698373173
9.1,778.991106039229,0.278991106039229,8.15843626825207,19.9854040778828,9.11308912982049,8.19149152818508,3.93382127112678,-34.8237801161412
9.3,718.143241396542,0.218143241396542,8.54795407568549,19.21459900248,9.30349202099972,6.37749748215291,4.01660374505644,-36.095190394965
9.5,656.434465040231,0.156434465040231,7.87607666737151,18.4167252806092,9.50447285057779,4.13581378299121,4.07859609996267,-37.3669314256824
9.7,594.108313318514,0.0941083133185144,5.8802827806685,17.7711865802596,9.69656821190083,2.19882209188662,4.16142582416284,-38.4792500437065
9.9,531.410759078128,0.0314107590781282,2.31086707354689,17.5583884068079,9.89720285440403,0.563867783405918,4.24420829809251,-39.7506603225303
10,500,1.22464679914735E-16,9.45365512572468E-15,17.5856693689843,,,4.32708527256319,-40.7038872797547
,,,,,,,4.40996224703386,-41.657114236979
,,,,,,,4.49283922150454,-42.6103411942033
,,,,,,,4.59655356526916,-43.4041457387344
,,,,,,,4.72105802805721,-44.1976195313718
,,,,,,,4.84565699138628,-44.6729100024098
,,,,,,,4.97035045525636,-44.8300171518482
,,,,,,,5.11592853869088,-44.6686102277936
,,,,,,,5.26160112266643,-44.1890199821394
,,,,,,,5.36574071886562,-43.5509995794726
,,,,,,,5.49071768435874,-42.7535567641125
,,,,,,,5.57420891234602,-41.6385921309399
,,,,,,,5.67849025935673,-40.5232967458739
,,,,,,,5.76198148734401,-39.4083321127013
,,,,,,,5.8454727153313,-38.2933674795288
,,,,,,,5.92901119358908,-37.0193111855565
,,,,,,,6.01254967184687,-35.7452548915843
,,,,,,,6.07529803108123,-34.4715293495055
,,,,,,,6.13804639031559,-33.1978038074268
,,,,,,,6.22158486857337,-31.9237475134545
,,,,,,,6.28438047807824,-30.490930310576
