#x,T,xh2o,xco2,S_LBL,S_SLW,S_SLW1,q_LBL,q_SLW,q_SLW1
#[m],[K],[],[],[kW/m3],[kW/m2]
    0.255000000000000E+000,    0.410632774462661E+003,    0.553163872313303E-001,    0.368775914875535E-001,    0.000000000000000E+000,    0.135637547452486E+001,    0.665750058075952E+000,    0.000000000000000E+000,   -0.302857900211944E+002,   -0.250452963931389E+002
    0.265000000000000E+000,    0.411477607135237E+003,    0.557388035676183E-001,    0.371592023784122E-001,    0.000000000000000E+000,    0.137121767476774E+001,    0.680967089341458E+000,    0.000000000000000E+000,   -0.302992809928099E+002,   -0.250518028518153E+002
    0.275000000000000E+000,    0.412354079539542E+003,    0.561770397697711E-001,    0.374513598465140E-001,    0.000000000000000E+000,    0.138677916975841E+001,    0.695487165599846E+000,    0.000000000000000E+000,   -0.303129179655535E+002,   -0.250584491009662E+002
    0.285000000000000E+000,    0.413262095560501E+003,    0.566310477802505E-001,    0.377540318535003E-001,    0.000000000000000E+000,    0.140206312104198E+001,    0.709290368409391E+000,    0.000000000000000E+000,   -0.303267049041121E+002,   -0.250652289055461E+002
    0.295000000000000E+000,    0.414201555623924E+003,    0.571007778119621E-001,    0.380671852079747E-001,    0.000000000000000E+000,    0.141864574567641E+001,    0.722412528072364E+000,    0.000000000000000E+000,   -0.303406407520300E+002,   -0.250721352674727E+002
    0.305000000000000E+000,    0.415172356707429E+003,    0.575861783537144E-001,    0.383907855691430E-001,    0.000000000000000E+000,    0.143345629739662E+001,    0.734924872108612E+000,    0.000000000000000E+000,   -0.303547389689184E+002,   -0.250791612297478E+002
    0.315000000000000E+000,    0.416174392351736E+003,    0.580871961758682E-001,    0.387247974505788E-001,    0.000000000000000E+000,    0.144965959978738E+001,    0.746867225331661E+000,    0.000000000000000E+000,   -0.303689821586322E+002,   -0.250863008021961E+002
    0.325000000000000E+000,    0.417207552672346E+003,    0.586037763361733E-001,    0.390691842241155E-001,    0.000000000000000E+000,    0.146911398989417E+001,    0.758201290533307E+000,    0.000000000000000E+000,   -0.303833826778433E+002,   -0.250935489857353E+002
    0.335000000000000E+000,    0.418271724371587E+003,    0.591358621857936E-001,    0.394239081238624E-001,    0.000000000000000E+000,    0.148503415012338E+001,    0.769028542979323E+000,    0.000000000000000E+000,   -0.303979705374175E+002,   -0.251008991418225E+002
    0.345000000000000E+000,    0.419366790751040E+003,    0.596833953755199E-001,    0.397889302503466E-001,    0.000000000000000E+000,    0.150083946828507E+001,    0.779306935533511E+000,    0.000000000000000E+000,   -0.304127139537517E+002,   -0.251083469036108E+002
    0.355000000000000E+000,    0.420492631724335E+003,    0.602463158621677E-001,    0.401642105747784E-001,    0.000000000000000E+000,    0.151785573641702E+001,    0.789098422557318E+000,    0.000000000000000E+000,   -0.304276112048748E+002,   -0.251158864880903E+002
    0.365000000000000E+000,    0.421649123830324E+003,    0.608245619151620E-001,    0.405497079434414E-001,    0.000000000000000E+000,    0.153540649870299E+001,    0.798432133804736E+000,    0.000000000000000E+000,   -0.304426739739211E+002,   -0.251235130450337E+002
    0.375000000000000E+000,    0.422836140246614E+003,    0.614180701233070E-001,    0.409453800822047E-001,    0.000000000000000E+000,    0.155319962880950E+001,    0.807295825154077E+000,    0.000000000000000E+000,   -0.304579084118473E+002,   -0.251312223651982E+002
    0.385000000000000E+000,    0.424053550803479E+003,    0.620267754017394E-001,    0.413511836011596E-001,    0.000000000000000E+000,    0.157053921317319E+001,    0.815710396366148E+000,    0.000000000000000E+000,   -0.304733154160713E+002,   -0.251390097516740E+002
    0.395000000000000E+000,    0.425301221998132E+003,    0.626506109990659E-001,    0.417670739993772E-001,    0.000000000000000E+000,    0.158907340199589E+001,    0.823739225979327E+000,    0.000000000000000E+000,   -0.304888912187630E+002,   -0.251468703139159E+002
    0.405000000000000E+000,    0.426579017009366E+003,    0.632895085046832E-001,    0.421930056697888E-001,    0.000000000000000E+000,    0.160720929712262E+001,    0.831326393839285E+000,    0.000000000000000E+000,   -0.305046483036115E+002,   -0.251548009693916E+002
    0.415000000000000E+000,    0.427886795712561E+003,    0.639433978562803E-001,    0.426289319041869E-001,    0.000000000000000E+000,    0.162645340412171E+001,    0.838571357410855E+000,    0.000000000000000E+000,   -0.305205842048428E+002,   -0.251627964487455E+002
    0.425000000000000E+000,    0.429224414695042E+003,    0.646122073475209E-001,    0.430748048983473E-001,    0.000000000000000E+000,    0.164575927567011E+001,    0.845417753365431E+000,    0.000000000000000E+000,   -0.305367062900154E+002,   -0.251708541419126E+002
    0.435000000000000E+000,    0.430591727271815E+003,    0.652958636359077E-001,    0.435305757572718E-001,    0.000000000000000E+000,    0.166365441672595E+001,    0.851923331506496E+000,    0.000000000000000E+000,   -0.305530185218928E+002,   -0.251789695818056E+002
    0.445000000000000E+000,    0.431988583501649E+003,    0.659942917508244E-001,    0.439961945005496E-001,    0.000000000000000E+000,    0.168312802832642E+001,    0.858111845201777E+000,    0.000000000000000E+000,   -0.305695030511444E+002,   -0.251871393045997E+002
    0.455000000000000E+000,    0.433414830203515E+003,    0.667074151017577E-001,    0.444716100678385E-001,    0.000000000000000E+000,    0.170308177789278E+001,    0.863940383590844E+000,    0.000000000000000E+000,   -0.305861773790673E+002,   -0.251953607952341E+002
    0.465000000000000E+000,    0.434870310973392E+003,    0.674351554866960E-001,    0.449567703244640E-001,    0.000000000000000E+000,    0.172226434770212E+001,    0.869487820143092E+000,    0.000000000000000E+000,   -0.306030454826493E+002,   -0.252036296638980E+002
    0.475000000000000E+000,    0.436354866201410E+003,    0.681774331007052E-001,    0.454516220671368E-001,    0.000000000000000E+000,    0.174215943211448E+001,    0.874712224007820E+000,    0.000000000000000E+000,   -0.306201018489203E+002,   -0.252119437934675E+002
    0.485000000000000E+000,    0.437868333089360E+003,    0.689341665446802E-001,    0.459561110297868E-001,    0.000000000000000E+000,    0.176418622804550E+001,    0.879648813033546E+000,    0.000000000000000E+000,   -0.306373523299199E+002,   -0.252202996313645E+002
    0.495000000000000E+000,    0.439410545668543E+003,    0.697052728342713E-001,    0.464701818895142E-001,    0.000000000000000E+000,    0.178590913251202E+001,    0.884315982688488E+000,    0.000000000000000E+000,   -0.306548195207989E+002,   -0.252286942307013E+002
    0.505000000000000E+000,    0.440981334817969E+003,    0.704906674089843E-001,    0.469937782726562E-001,    0.000000000000000E+000,    0.180624729836281E+001,    0.888733419108193E+000,    0.000000000000000E+000,   -0.306724953007077E+002,   -0.252371248243773E+002
    0.515000000000000E+000,    0.442580528282907E+003,    0.712902641414533E-001,    0.475268427609689E-001,    0.000000000000000E+000,    0.182675752510242E+001,    0.892922371745969E+000,    0.000000000000000E+000,   -0.306903707950581E+002,   -0.252455888383784E+002
    0.525000000000000E+000,    0.444207950693772E+003,    0.721039753468862E-001,    0.480693168979241E-001,    0.000000000000000E+000,    0.184944530087988E+001,    0.896857725939898E+000,    0.000000000000000E+000,   -0.307084453444465E+002,   -0.252540845105866E+002
    0.535000000000000E+000,    0.445863423585359E+003,    0.729317117926794E-001,    0.486211411951196E-001,    0.000000000000000E+000,    0.187028946412610E+001,    0.900599463311314E+000,    0.000000000000000E+000,   -0.307267429360011E+002,   -0.252626086141511E+002
