#x,T,xh2o,S_LBL,S_SLW,S_SLW1,q_LBL,q_SLW,q_SLW1
#[m],[K],[],[kW/m3],[kW/m2]
    0.950000000000000E+000,    0.794040325232304E+003,    0.294040325232304E+000,    0.000000000000000E+000,    0.606918740275154E+001,    0.102677188803663E+002,    0.000000000000000E+000,   -0.815989704757409E+002,   -0.996241591975762E+002
    0.970000000000000E+000,    0.800039906241276E+003,    0.300039906241276E+000,    0.000000000000000E+000,    0.622434374069669E+001,    0.104517965950907E+002,    0.000000000000000E+000,   -0.817143247954022E+002,   -0.998258757628665E+002
    0.990000000000000E+000,    0.806027642188501E+003,    0.306027642188501E+000,    0.000000000000000E+000,    0.621326441156641E+001,    0.106485680628850E+002,    0.000000000000000E+000,   -0.818309233233651E+002,   -0.100030997228426E+003
    0.101000000000000E+001,    0.812003296688415E+003,    0.312003296688415E+000,    0.000000000000000E+000,    0.623857763735250E+001,    0.108384390794833E+002,    0.000000000000000E+000,   -0.819480059989866E+002,   -0.100239891349190E+003
    0.103000000000000E+001,    0.817966633832411E+003,    0.317966633832411E+000,    0.000000000000000E+000,    0.627270845834090E+001,    0.110210992060417E+002,    0.000000000000000E+000,   -0.820658028472347E+002,   -0.100452417466027E+003
    0.105000000000000E+001,    0.823917418198149E+003,    0.323917418198149E+000,    0.000000000000000E+000,    0.630664341567079E+001,    0.111962442733166E+002,    0.000000000000000E+000,   -0.821843210638848E+002,   -0.100668428819342E+003
    0.107000000000000E+001,    0.829855414858853E+003,    0.329855414858853E+000,    0.000000000000000E+000,    0.634015888701013E+001,    0.113635766348507E+002,    0.000000000000000E+000,   -0.823035238907901E+002,   -0.100887772680057E+003
    0.109000000000000E+001,    0.835780389392581E+003,    0.335780389392581E+000,    0.000000000000000E+000,    0.636940272742418E+001,    0.115228054173338E+002,    0.000000000000000E+000,   -0.824233498707642E+002,   -0.101110290485484E+003
    0.111000000000000E+001,    0.841692107891483E+003,    0.341692107891483E+000,    0.000000000000000E+000,    0.639814895266412E+001,    0.116736467671747E+002,    0.000000000000000E+000,   -0.825437423487235E+002,   -0.101335817980025E+003
    0.113000000000000E+001,    0.847590336971037E+003,    0.347590336971037E+000,    0.000000000000000E+000,    0.642053587753840E+001,    0.118158240925524E+002,    0.000000000000000E+000,   -0.826646319488785E+002,   -0.101564185360594E+003
    0.115000000000000E+001,    0.853474843779257E+003,    0.353474843779257E+000,    0.000000000000000E+000,    0.643799551052626E+001,    0.119490683004624E+002,    0.000000000000000E+000,   -0.827859110342114E+002,   -0.101795217426671E+003
    0.117000000000000E+001,    0.859345396005891E+003,    0.359345396005891E+000,    0.000000000000000E+000,    0.645136639669470E+001,    0.120731180285427E+002,    0.000000000000000E+000,   -0.829074865862191E+002,   -0.102028733734863E+003
    0.119000000000000E+001,    0.865201761891588E+003,    0.365201761891588E+000,    0.000000000000000E+000,    0.645690333570098E+001,    0.121877198717446E+002,    0.000000000000000E+000,   -0.830292355228915E+002,   -0.102264548757871E+003
    0.121000000000000E+001,    0.871043710237051E+003,    0.371043710237051E+000,    0.000000000000000E+000,    0.645905797234293E+001,    0.122926286042194E+002,    0.000000000000000E+000,   -0.831510430585444E+002,   -0.102502472047753E+003
    0.123000000000000E+001,    0.876871010412163E+003,    0.376871010412163E+000,    0.000000000000000E+000,    0.645835309303684E+001,    0.123876073971213E+002,    0.000000000000000E+000,   -0.832728404834415E+002,   -0.102742308403386E+003
    0.125000000000000E+001,    0.882683432365090E+003,    0.382683432365090E+000,    0.000000000000000E+000,    0.645727265704586E+001,    0.124724280333983E+002,    0.000000000000000E+000,   -0.833945828533188E+002,   -0.102983858042049E+003
    0.127000000000000E+001,    0.888480746631366E+003,    0.388480746631366E+000,    0.000000000000000E+000,    0.646575697213288E+001,    0.125468711210777E+002,    0.000000000000000E+000,   -0.835163301798557E+002,   -0.103226916775062E+003
    0.129000000000000E+001,    0.894262724342951E+003,    0.394262724342951E+000,    0.000000000000000E+000,    0.648687310368814E+001,    0.126107263070687E+002,    0.000000000000000E+000,   -0.836382470460485E+002,   -0.103471276187471E+003
    0.131000000000000E+001,    0.900029137237265E+003,    0.400029137237265E+000,    0.000000000000000E+000,    0.652870441166626E+001,    0.126637841408436E+002,    0.000000000000000E+000,   -0.837605656041075E+002,   -0.103716723845992E+003
    0.133000000000000E+001,    0.905779757666200E+003,    0.405779757666200E+000,    0.000000000000000E+000,    0.646861137923351E+001,    0.127037961071062E+002,    0.000000000000000E+000,   -0.838828239115709E+002,   -0.103963052943465E+003
    0.135000000000000E+001,    0.911514358605109E+003,    0.411514358605109E+000,    0.000000000000000E+000,    0.641483638383518E+001,    0.127318014052784E+002,    0.000000000000000E+000,   -0.840040649788320E+002,   -0.104210002755512E+003
    0.137000000000000E+001,    0.917232713661765E+003,    0.417232713661765E+000,    0.000000000000000E+000,    0.636051327761963E+001,    0.127476457386266E+002,    0.000000000000000E+000,   -0.841242925925526E+002,   -0.104457333590245E+003
    0.139000000000000E+001,    0.922934597085303E+003,    0.422934597085303E+000,    0.000000000000000E+000,    0.630744113405488E+001,    0.127511846876293E+002,    0.000000000000000E+000,   -0.842434861132304E+002,   -0.104704802833204E+003
    0.141000000000000E+001,    0.928619783775128E+003,    0.428619783775128E+000,    0.000000000000000E+000,    0.623001718448595E+001,    0.127422836675981E+002,    0.000000000000000E+000,   -0.843614328559432E+002,   -0.104952165145012E+003
    0.143000000000000E+001,    0.934288049289805E+003,    0.434288049289805E+000,    0.000000000000000E+000,    0.614807696439569E+001,    0.127208178819946E+002,    0.000000000000000E+000,   -0.844778689001812E+002,   -0.105199172657991E+003
    0.145000000000000E+001,    0.939939169855915E+003,    0.439939169855915E+000,    0.000000000000000E+000,    0.606626233441710E+001,    0.126866722715008E+002,    0.000000000000000E+000,   -0.845927367822204E+002,   -0.105445575171704E+003
